id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
58156,58331,103891,,,,,11.962584,-8.548713,57.1429,-110.25,21.57,0,6.58,2.795,G0,0.568,-56.505322,0.553516,-8.494305,-5.9E-07,3.055E-05,5.91E-06,3.13179718606303,-0.149203194974787,-5.345070828125E-07,1.0457431E-07,,,Vir,1,58156,,6.63743070401909,,,
58345,58520,104237,,,,,12.001437,-78.192934,114.6789,-39.13,-5.58,0,6.58,1.283,B/Ape,0.241,-23.465223,-0.008677,-112.252543,3.03E-06,2.175E-05,-6.3E-07,3.14196886505856,-1.36472415571028,-1.89707593201389E-07,-2.7052603E-08,,,Cha,1,58345,,26.7177572711795,DX,6.626,6.516
60106,60291,107524,,,,,12.362953,-49.948962,250.6266,-27.47,4.62,0,6.58,-0.415,K3III,1.467,-160.543133,-15.300926,-191.847534,-7.44E-06,3.282E-05,3.61E-06,3.23661354568972,-0.87177385301407,-1.33178318048611E-07,2.2398392E-08,,,Cen,1,60106,,127.643880881134,,,
61789,61982,110372,,,,,12.701805,-54.760859,194.1748,-24.73,13.17,0,6.58,0.139,K1/K2III,1.26,-110.15128,-20.469092,-158.592448,-1.421E-05,2.104E-05,7.15E-06,3.3253247929238,-0.955757299312841,-1.19894423201389E-07,6.3849961E-08,,,Cen,1,61789,,76.6302072273919,,,
63288,63491,112934,,,,,13.009317,-33.051326,56.243,-118.89,-59.5,0,6.58,2.83,A9V,0.298,-45.505685,-12.312202,-30.674376,7E-08,3.36E-05,-1.36E-05,3.40583110554388,-0.576854459061216,-5.763949848125E-07,-2.88464139E-07,,,Cen,1,63288,,6.42687717317019,,,
66613,66825,119090,5147,,,,13.695991,-33.597378,421.9409,-27.61,3.37,28,6.58,-1.546,M3e,1.584,-317.376269,-150.971922,-233.482584,-4.924E-05,3.911E-05,-1.01E-05,3.58560200675075,-0.586384869040566,-1.33857057201389E-07,1.6338221E-08,,,Cen,1,66613,,361.742886764218,T,7.351,5.861
66994,67206,119646,,,,,13.771667,-62.451596,100000,-3.97,-1.31,-15,6.58,-13.42,B2Ia,0.118,-41363.470808,-20690.71078,-88662.042292,-0.00035107,0.00197628,-0.00028011,3.60541403358785,-1.08998596657177,-1.92471031180556E-08,-6.351059E-09,,,Cen,1,66994,,20323570.1093622,,,
69819,70042,124834,,,,,14.332606,-73.968443,346.0208,-7.77,-0.38,5.9,6.58,-1.116,B3III/IV,-0.046,-78.288201,-54.795687,-332.56401,-8.34E-06,1.007E-05,-5.98E-06,3.7522675813873,-1.29099286712005,-3.76700229791667E-08,-1.842291E-09,,,Aps,1,69819,,243.44451836922,,,
72596,72823,131165,,,,,14.885173,-38.257001,233.6449,-26.23,-23.91,0,6.58,-0.263,A0V,0.023,-133.571967,-125.773196,-144.670563,-8.16E-06,3.312E-05,-2.127E-05,3.896929168292,-0.667710629290821,-1.27166628409722E-07,-1.15918951E-07,,,Cen,1,72596,,110.968572677412,,,
74309,74537,135204,,Gl 580A,,,15.230804,-1.351387,17.671,-1269.65,-503.15,-69.2,6.58,5.344,K0V,0.763,-11.71425,-13.222898,-0.416737,-3.383E-05,0.00012584,-4.142E-05,3.98741520492717,-0.023586159225289,-6.15543689517361E-06,-2.439340033E-06,,,Ser,1,74309,Gl 580,0.634453795775714,,,
74511,74740,135416,,,,,15.274589,-44.503701,288.1844,-69.03,-30.16,0,6.58,-0.718,K2/K3III,1.431,-134.521017,-155.398102,-202.004392,-5.358E-05,8.545E-05,-3.005E-05,3.99887794566477,-0.776736108423302,-3.346668836875E-07,-1.46219806E-07,,,Lup,1,74511,,168.73298906258,,,
77370,77606,141554,,,,,15.843017,-26.289624,183.1502,-83.78,-28.65,0,6.58,0.266,K3III,1.507,-87.8767,-138.713427,-81.118842,-5.681E-05,4.932E-05,-2.281E-05,4.14769208195211,-0.458840495367291,-4.06176901569445E-07,-1.38899119E-07,,,Sco,1,77370,,68.1710526305853,,,
78197,78434,142497,,,,,16.013021,-72.462898,284.9003,-21.56,-32.43,0,6.58,-0.693,K3III,1.404,-42.670016,-74.491576,-271.658712,-4.61E-06,5.186E-05,-1.35E-05,4.19219920639899,-1.26471615671942,-1.04525829527778E-07,-1.57225076E-07,,,Aps,1,78197,,164.892157315083,,,
